
일간그래프(5분평균)
일시,수신,송신
2024.12.01 02:20:00,116953828040.12,21251105171.37
2024.12.01 02:25:00,114950151374.49998,20889776033.64
2024.12.01 02:30:00,114512485826.32002,20598609220.51
2024.12.01 02:35:00,112926299771.67001,20092521744.690002
2024.12.01 02:40:00,110538514978.85999,19821116101.18
2024.12.01 02:45:00,109676518028.30002,19254268078.069996
2024.12.01 02:50:00,107360859424.04,19345034212.370003
2024.12.01 02:55:00,103730182527.34,18620059105.249996
2024.12.01 03:00:00,101047713104.58,18146031746.399998
2024.12.01 03:05:00,99685110053.03001,17809387657.410004
2024.12.01 03:10:00,98273024410.87,17506200301.96
2024.12.01 03:15:00,98196763847.03,16985626175.14
2024.12.01 03:20:00,98196289783.20999,16665462811.97
2024.12.01 03:25:00,95742637937.42001,16247187714.750002
2024.12.01 03:30:00,94474846642.47,16123419719.48
2024.12.01 03:35:00,92403352957.4,15703888068.69
2024.12.01 03:40:00,92635963227.07,15799844744.789997
2024.12.01 03:45:00,90590541936.56001,15131339319.149998
2024.12.01 03:50:00,90390329254.94,14753204325.95
2024.12.01 03:55:00,89199230801.05,14506012150.729996
2024.12.01 04:00:00,87383664668.54999,14176116270.789999
2024.12.01 04:05:00,84719727739.23001,13757075299.2
2024.12.01 04:10:00,81736203588.94,13341211682.739998
2024.12.01 04:15:00,81140588455.47,13049333509.63
2024.12.01 04:20:00,81434171891.69,12738104319.2
2024.12.01 04:25:00,80019235997.03,12365704307.180002
2024.12.01 04:30:00,79011286911.15999,12185803469.3
2024.12.01 04:35:00,78216962440.06999,11732214490.569998
2024.12.01 04:40:00,76571142226.73001,11500324171.219997
2024.12.01 04:45:00,75163071490.75002,11296547628.250002
2024.12.01 04:50:00,73772972169.29001,11112645055.53
2024.12.01 04:55:00,73282829850.34999,10934862199.18
2024.12.01 05:00:00,71841631543.15999,10773403084.859999
2024.12.01 05:05:00,70723645178.61,10504231074.129997
2024.12.01 05:10:00,69396272622.95999,10293637137.84
2024.12.01 05:15:00,69018154641.62,10043684347.359999
2024.12.01 05:20:00,68136111933.59,9860113844.930002
2024.12.01 05:25:00,66713442041.71001,9587449381.69
2024.12.01 05:30:00,65940211682.01999,9535282600.819998
2024.12.01 05:35:00,65695999352.950005,9316748573.66
2024.12.01 05:40:00,63951781367.08,9186334984.44
2024.12.01 05:45:00,62812950305.189995,9011330255.269999
2024.12.01 05:50:00,62950574662.47,8916494218.9
2024.12.01 05:55:00,61244800077.4,8671193946.82
2024.12.01 06:00:00,62337298459.439995,8447754859.83
2024.12.01 06:05:00,60380332906.14001,8262474163.280002
2024.12.01 06:10:00,60271997158.14001,8192041877.8
2024.12.01 06:15:00,60798902146.2,8017374292.809999
2024.12.01 06:20:00,59546031692.53,7934455721.319999
2024.12.01 06:25:00,58417830163.48999,7739160442.31
2024.12.01 06:30:00,56822440008.25,7659192051.07
2024.12.01 06:35:00,56319544007.98999,7490179101.120001
2024.12.01 06:40:00,55611444230.23,7439307503.89
2024.12.01 06:45:00,54731452373.47,7265277685.580001
2024.12.01 06:50:00,54644582450.53999,7264850425.28
2024.12.01 06:55:00,53836093942.42,7138534152.889998
2024.12.01 07:00:00,55160152445.91,7181212094.04
2024.12.01 07:05:00,55224008707.15,7101702452.02
2024.12.01 07:10:00,54316285694.740005,7038361774.850002
2024.12.01 07:15:00,53989553467.25,7013905245.02
2024.12.01 07:20:00,53349984639.600006,6988341058.870001
2024.12.01 07:25:00,53601291765.2,6899726416.350001
2024.12.01 07:30:00,53328216808.58001,6889041196.9
2024.12.01 07:35:00,53733626858.31999,6892478025.930001
2024.12.01 07:40:00,54403383983.579994,6903215567.849999
2024.12.01 07:45:00,54241492038.06,6870423048.05
2024.12.01 07:50:00,54039068440.97,6916290739.59
2024.12.01 07:55:00,55188829592.630005,6871763932.860001
2024.12.01 08:00:00,55831910766.47,7039396392
2024.12.01 08:05:00,54609063189.759995,6909125429.53
2024.12.01 08:10:00,54096952968.55,6847346485.490003
2024.12.01 08:15:00,54962784864.77,6896376911.739999
2024.12.01 08:20:00,55090851491.15,6903532282.3099985
2024.12.01 08:25:00,54247208828.88,6889178085.769999
2024.12.01 08:30:00,53712392127.76,6952871128.710001
2024.12.01 08:35:00,53245740122.09999,6952282860.260001
2024.12.01 08:40:00,53944662782.72,7046729959.379999
2024.12.01 08:45:00,55772914457.58,7103706714.919999
2024.12.01 08:50:00,56578115020.21,7174299585.000002
2024.12.01 08:55:00,57639726512.20999,7268270337.850001
2024.12.01 09:00:00,57220060422.21999,7396177162.47
2024.12.01 09:05:00,58402249549.259995,7487132596.589999
2024.12.01 09:10:00,58584339944.09999,7452738451.880002
2024.12.01 09:15:00,58985138401.740005,7401602439.410001
2024.12.01 09:20:00,59613913749.32001,7517864659.72
2024.12.01 09:25:00,59629267144.25,7583452066.629999
2024.12.01 09:30:00,59557632628.82999,7659628626.450001
2024.12.01 09:35:00,59594153806.03,7683663786.469999
2024.12.01 09:40:00,60494024996.01001,7874881308.27
2024.12.01 09:45:00,60997869761.990005,7831069802.929998
2024.12.01 09:50:00,62252703212.61,7884914428.22
2024.12.01 09:55:00,62942710252,7971321966.859999
2024.12.01 10:00:00,64011614856.41001,8198483400
2024.12.01 10:05:00,64603815548.8,8324858474.680002
2024.12.01 10:10:00,64596177957.43001,8416305975.0199995
2024.12.01 10:15:00,64725712873.009995,8569947416.89
2024.12.01 10:20:00,65975938018.78999,8654914836.3
2024.12.01 10:25:00,67027310131.130005,8634625570.92
2024.12.01 10:30:00,68212049524.83,8782862233.73
2024.12.01 10:35:00,68889497010.01,8877191445.109999
2024.12.01 10:40:00,68781192819.31999,9128606350.760002
2024.12.01 10:45:00,68285142863.91,9207976344.730001
2024.12.01 10:50:00,69353174140.09999,9541908669.400002
2024.12.01 10:55:00,69019093454.88998,9751169238.269999
2024.12.01 11:00:00,69661715586.92,9879407667.319998
2024.12.01 11:05:00,69133784895.16,9957836187.530003
2024.12.01 11:10:00,69336104129.71999,10095244507.55
2024.12.01 11:15:00,70900967566.23001,10197692250.529999
2024.12.01 11:20:00,71231660959.65999,10342532897.12
2024.12.01 11:25:00,71259121260.47,10361251607.52
2024.12.01 11:30:00,72363976740.4,10438247952.01
2024.12.01 11:35:00,72269908481.93,10591274691.890001
2024.12.01 11:40:00,72267303345.65,10745541192.240002
2024.12.01 11:45:00,73975078760.45,10797929237.81
2024.12.01 11:50:00,73720092802.58,10893668137.26
2024.12.01 11:55:00,74784133998.75,10732646119.360003
2024.12.01 12:00:00,77566284918.59001,10998043158.539999
2024.12.01 12:05:00,76707554320.46,10901358494.730001
2024.12.01 12:10:00,75960921993.9,10880895351.630001
2024.12.01 12:15:00,74720371105.8,10776269094.810001
2024.12.01 12:20:00,75770105680.49,10884299697.359999
2024.12.01 12:25:00,78371639387.87001,10780514867.18
2024.12.01 12:30:00,77836763729.95,10757491400.33
2024.12.01 12:35:00,78260265204.19998,10927895235.080004
2024.12.01 12:40:00,79676230159.44,11078931240.93
